evidence_id,evaluation_id,关联评估任务,来源类型,来源名称,原始链接,证据时间,证据片段,关联对象,关联维度,关联指标,证据质量,是否关键证据,是否存在冲突,冲突说明,可见范围,权限状态,关联维度结果,关联指标结果,关联复核项
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-13,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-22 20:00,输出低频回写补偿脚本 DDL=2026-04-22 20:00 is_overdue=true,PJT-CASE-04-TASK-13,推进闭环力,任务延期率,高,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_overdue_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-current_meeting_action_task_rate",
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-16,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-18 17:00,线下沟通补录到评审纪要 DDL=2026-04-18 17:00 is_overdue=true,PJT-CASE-04-TASK-16,推进闭环力,任务延期率,高,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_overdue_rate,
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-06,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-17 19:00,补充仓配异常子状态说明 status=已完成 is_closed=true,PJT-CASE-04-TASK-06,推进闭环力,任务关闭率,高,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_closure_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-closed_task_quality_rate",
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-11,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-21 18:00,复现工单高频异常 A source_meeting_id=MTG-CASE-04-04,PJT-CASE-04-TASK-11,推进闭环力,当前会议行动项入表率,高,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-current_meeting_action_task_rate,
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-14,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-22 19:00,更新延期事项 owner 和新 DDL source_meeting_id=MTG-CASE-04-04,PJT-CASE-04-TASK-14,推进闭环力,当前会议行动项入表率,高,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-current_meeting_action_task_rate,
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-15,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-23 17:00,清理文档中的旧版本路线图 source_meeting_id=MTG-CASE-04-04,PJT-CASE-04-TASK-15,推进闭环力,当前会议行动项入表率,高,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-current_meeting_action_task_rate,
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-17,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-24 20:00,输出专项复盘初稿 source_meeting_id=MTG-CASE-04-04,PJT-CASE-04-TASK-17,推进闭环力,当前会议行动项入表率,高,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-current_meeting_action_task_rate,
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-18,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-21 18:00,新周报模板落地 source_meeting_id=MTG-CASE-04-04,PJT-CASE-04-TASK-18,推进闭环力,当前会议行动项入表率,高,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-current_meeting_action_task_rate,
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-19,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-24 17:00,客服链路遗留项顺延说明 source_meeting_id=MTG-CASE-04-04,PJT-CASE-04-TASK-19,推进闭环力,当前会议行动项入表率,高,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-current_meeting_action_task_rate,
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-20,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-24 18:00,监控看板接入评估 source_meeting_id=MTG-CASE-04-04,PJT-CASE-04-TASK-20,推进闭环力,当前会议行动项入表率,高,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-current_meeting_action_task_rate,
EVD-base_risk-03_task_risk_register_base_risks_record_list_json-PJT-CASE-04-RISK-01,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,风险表,03_task_risk_register/base_risks_record_list.json,,MTG-CASE-04-02,字段口径不一致导致联调返工 followup_status=resolved,PJT-CASE-04-RISK-01,风险治理力,高等级风险收口率,高,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-high_risk_resolution_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-risk_mitigation_action_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-repeated_risk_type_count",
EVD-base_risk-03_task_risk_register_base_risks_record_list_json-PJT-CASE-04-RISK-02,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,风险表,03_task_risk_register/base_risks_record_list.json,,MTG-CASE-04-03,退款回写高峰场景尾延迟 followup_status=tracking,PJT-CASE-04-RISK-02,风险治理力,高等级风险收口率,高,true,false,,评审可见,仅摘要可见,DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-风险治理力,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-high_risk_resolution_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-risk_mitigation_action_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-open_risk_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-repeated_risk_type_count",
EVD-base_risk-03_task_risk_register_base_risks_record_list_json-PJT-CASE-04-RISK-03,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,风险表,03_task_risk_register/base_risks_record_list.json,,MTG-CASE-04-03,晚间环境窗口不稳定 followup_status=resolved,PJT-CASE-04-RISK-03,风险治理力,高等级风险收口率,高,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-high_risk_resolution_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-risk_mitigation_action_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-repeated_risk_type_count",
EVD-base_risk-03_task_risk_register_base_risks_record_list_json-PJT-CASE-04-RISK-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,风险表,03_task_risk_register/base_risks_record_list.json,,MTG-CASE-04-04,补齐样本后关闭该项并同步影响范围,PJT-CASE-04-RISK-04,风险治理力,风险缓释动作覆盖率,高,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-risk_mitigation_action_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-repeated_risk_type_count",
EVD-base_risk-03_task_risk_register_base_risks_record_list_json-PJT-CASE-04-RISK-05,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,风险表,03_task_risk_register/base_risks_record_list.json,,MTG-CASE-04-04,保留遗留项说明并顺延到下一阶段,PJT-CASE-04-RISK-05,风险治理力,风险缓释动作覆盖率,高,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-risk_mitigation_action_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-open_risk_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-repeated_risk_type_count",
EVD-base_risk-03_task_risk_register_base_risks_record_list_json-PJT-CASE-04-RISK-06,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,风险表,03_task_risk_register/base_risks_record_list.json,,MTG-CASE-04-03,线下结论未及时留痕 followup_status=tracking,PJT-CASE-04-RISK-06,风险治理力,风险未收口占比,高,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-open_risk_rate,
EVD-base_risk-03_task_risk_register_base_risks_record_list_json-PJT-CASE-04-RISK-07,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,风险表,03_task_risk_register/base_risks_record_list.json,,MTG-CASE-04-01,旧版文档口径误导执行 followup_status=open,PJT-CASE-04-RISK-07,风险治理力,风险未收口占比,高,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-open_risk_rate,
EVD-base_risk-03_task_risk_register_base_risks_record_list_json-PJT-CASE-04-RISK-08,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,风险表,03_task_risk_register/base_risks_record_list.json,,MTG-CASE-04-04,低频回写补偿脚本准备不足 followup_status=tracking,PJT-CASE-04-RISK-08,风险治理力,风险未收口占比,高,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-open_risk_rate,
EVD-calendar-06_calendar_calendar_events_instance_view_json-cal_case04_evt_0413_sync,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,人工补录,06_calendar/calendar_events_instance_view.json,,2026-04-13T10:02:00+08:00,"专项同步 attendees=陈昊,林玥,冯子轩,沈薇,唐可,马会,罗征,吴恬",cal_case04_evt_0413_sync,协同调度力,日历必要干系人覆盖率,中,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-calendar_stakeholder_coverage_rate,
EVD-calendar-06_calendar_calendar_events_instance_view_json-cal_case04_evt_0416_joint,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,人工补录,06_calendar/calendar_events_instance_view.json,,2026-04-16T15:00:00+08:00,"联调状态沟通 attendees=陈昊,林玥,冯子轩,吴恬,马会,罗征",cal_case04_evt_0416_joint,协同调度力,日历必要干系人覆盖率,中,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-calendar_stakeholder_coverage_rate,
EVD-calendar-06_calendar_calendar_events_instance_view_json-cal_case04_evt_0418_offline,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,人工补录,06_calendar/calendar_events_instance_view.json,,2026-04-18T11:45:00+08:00,"阶段评审前线下沟通补录 attendees=陈昊,林玥,沈薇,唐可",cal_case04_evt_0418_offline,协同调度力,日历必要干系人覆盖率,中,true,false,,评审可见,仅摘要可见,DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-协同调度力,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-calendar_stakeholder_coverage_rate,
EVD-calendar-06_calendar_calendar_events_instance_view_json-cal_case04_evt_0424_review,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,人工补录,06_calendar/calendar_events_instance_view.json,,2026-04-24T19:30:00+08:00,"专项阶段复盘 attendees=陈昊,林玥,马会,吴恬",cal_case04_evt_0424_review,协同调度力,日历必要干系人覆盖率,中,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-calendar_stakeholder_coverage_rate,
EVD-chat-02_chats_im_messages_search_user_json-om_case04msg0002,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,聊天记录,02_chats/im_messages_search_user.json,,2026-04-13 09:16,今天先把本轮目标和边界说清楚，不在范围里的先别展开。,om_case04msg0002,协同调度力,管理者聊天同步样本数,中,true,false,,评审可见,仅摘要可见,DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-方向校准力,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-manager_chat_signal_count,
EVD-chat-02_chats_im_messages_search_user_json-om_case04msg0004,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,聊天记录,02_chats/im_messages_search_user.json,,2026-04-13 09:18,先不追求全部体验项一起做，主链路稳定和退款一致先保住。,om_case04msg0004,协同调度力,管理者聊天同步样本数,中,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-manager_chat_signal_count,
EVD-chat-02_chats_im_messages_search_user_json-om_case04msg0007,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,聊天记录,02_chats/im_messages_search_user.json,,2026-04-15 16:16,今天 5 点前必须统一一版口径，谁负责适配今天就定下来，不能继续空转。,om_case04msg0007,协同调度力,管理者聊天同步样本数,中,true,false,,评审可见,仅摘要可见,"DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-协同调度力
DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-组织行为健康度
DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-协同调度力
DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-组织行为健康度","MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-manager_chat_signal_count
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-high_pressure_language_sample_rate",HR-002
EVD-chat-02_chats_im_messages_search_user_json-om_case04msg0009,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,聊天记录,02_chats/im_messages_search_user.json,,2026-04-14 09:34,结算项目别发到专项线程里。,om_case04msg0009,协同调度力,管理者聊天同步样本数,中,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-manager_chat_signal_count,
EVD-chat-02_chats_im_messages_search_user_json-om_case04msg0013,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,聊天记录,02_chats/im_messages_search_user.json,,2026-04-19 10:36,这里先只说风险、影响、下一步。背景长文别贴。,om_case04msg0013,协同调度力,管理者聊天同步样本数,中,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-manager_chat_signal_count,
EVD-chat-02_chats_im_messages_search_user_json-om_case04msg0014,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,聊天记录,02_chats/im_messages_search_user.json,,2026-04-19 10:44,12 点前给我 go/no-go 输入，不要等到晚上才决定。,om_case04msg0014,组织行为健康度,高压推进语言样本占比,中,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-high_pressure_language_sample_rate,
EVD-chat-02_chats_im_messages_search_user_json-om_case04msg0016,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,聊天记录,02_chats/im_messages_search_user.json,,2026-04-16 17:11,本轮先不争论长期最优结构，字段冻结表今天必须出，先服务上线前执行口径。,om_case04msg0016,组织行为健康度,高压推进语言样本占比,中,false,false,,仅摘要可见,仅摘要可见,,MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-high_pressure_language_sample_rate,
EVD-planner_slice-task_context-FRONT-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,人工补录,task_context,,2026-05-04T13:59:55.174Z,当前会议缺完整妙记转写，发言语境需要依赖会议表和 Statements 交叉校验。,FRONT-PJT-CASE-04-MTG-CASE-04-04,方向校准力,,中,false,true,会议行动项 3 条，任务表关联 9 条，存在会后扩展任务或重复挂载,仅摘要可见,仅摘要可见,,,"HR-MTG-CASE-04-04-01
HR-MTG-CASE-04-04-02"
EVD-current_meeting-current_meeting_facts-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,会议纪要,current_meeting_facts,,2026-04-24 19:30 - 20:35,"""missing_fields"": [""meeting_docs.current_transcript""]",MTG-CASE-04-04,方向校准力,,中,true,false,,评审可见,仅摘要可见,"DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-方向校准力
DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-推进闭环力
DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-方向校准力
DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-推进闭环力",,"HR-MTG-CASE-04-04-01
HRV-CASE-04-COORD-01"
EVD-hard_metrics-hard_metrics_result-current_meeting_action_task_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,hard_metrics_result,,2026-04-13 ~ 2026-04-24,会议行动项 3 条，任务表关联 9 条，存在会后扩展任务或重复挂载,current_meeting_action_task_rate,推进闭环力,,高,true,true,会议行动项 3 条，任务表关联 9 条，存在会后扩展任务或重复挂载,评审可见,仅摘要可见,DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-推进闭环力,,HR-MTG-CASE-04-04-02
EVD-hard_metrics-hard_metrics_result-high_risk_resolution_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,hard_metrics_result,,2026-04-13 ~ 2026-04-24,value = 2 / 3,high_risk_resolution_rate,风险治理力,,高,true,false,,评审可见,仅摘要可见,DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-风险治理力,,HR-001
EVD-current_meeting-current_meeting_missing_fields-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,会议纪要,current_meeting.missing_fields,,2026-04-24 19:30 - 20:35,meeting_docs.current_transcript,MTG-CASE-04-04,风险治理力,,中,false,false,,仅摘要可见,仅摘要可见,,,HR-003
EVD-risk-coordination_context-NO_205,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,风险表,coordination_context,,MTG-CASE-04-04,依赖外部供应商反馈，异常 B 处理偏慢,NO.205,协同调度力,,中,false,false,,仅摘要可见,仅摘要可见,,,HRV-CASE-04-COORD-01
EVD-org_contacts-coordination_context-马会,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,人工补录,coordination_context,,N/A,"name: 马会, department: 客服平台部, project_role: customer_service_partner",马会,协同调度力,,中,false,false,,仅摘要可见,仅摘要可见,,,HRV-CASE-04-COORD-01
EVD-hard_metrics-hard_metrics_result-meeting_decision_coverage_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,hard_metrics_result,,2026-04-13 ~ 2026-04-24,value = 1,meeting_decision_coverage_rate,方向校准力,,高,true,false,,评审可见,仅摘要可见,DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-方向校准力,,
EVD-hard_metrics-hard_metrics_result-task_overdue_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,hard_metrics_result,,2026-04-13 ~ 2026-04-24,value = 0.25,task_overdue_rate,推进闭环力,,高,true,false,,评审可见,仅摘要可见,DIM-EVAL-PJT-CASE-04-MTG-CASE-04-04-推进闭环力,,
